qtype,Question,Answer
susceptibility,Who is at risk for Lymphocytic Choriomeningitis (LCM)? ?,"LCMV infections can occur after exposure to fresh urine, droppings, saliva, or nesting materials from infected rodents.  Transmission may also occur when these materials are directly introduced into broken skin, the nose, the eyes, or the mouth, or presumably, via the bite of an infected rodent. Person-to-person transmission has not been reported, with the exception of vertical transmission from infected mother to fetus, and rarely, through organ transplantation."
symptoms,What are the symptoms of Lymphocytic Choriomeningitis (LCM) ?,"LCMV is most commonly recognized as causing neurological disease, as its name implies, though infection without symptoms or mild febrile illnesses are more common clinical manifestations. 
                
For infected persons who do become ill, onset of symptoms usually occurs 8-13 days after exposure to the virus as part of a biphasic febrile illness. This initial phase, which may last as long as a week, typically begins with any or all of the following symptoms: fever, malaise, lack of appetite, muscle aches, headache, nausea, and vomiting. Other symptoms appearing less frequently include sore throat, cough, joint pain, chest pain, testicular pain, and parotid (salivary gland) pain. 
                
Following a few days of recovery, a second phase of illness may occur. Symptoms may consist of meningitis (fever, headache, stiff neck, etc.), encephalitis (drowsiness, confusion, sensory disturbances, and/or motor abnormalities, such as paralysis), or meningoencephalitis (inflammation of both the brain and meninges). LCMV has also been known to cause acute hydrocephalus (increased fluid on the brain), which often requires surgical shunting to relieve increased intracranial pressure. In rare instances, infection results in myelitis (inflammation of the spinal cord) and presents with symptoms such as muscle weakness, paralysis, or changes in body sensation. An association between LCMV infection and myocarditis (inflammation of the heart muscles) has been suggested. 
                
Previous observations show that most patients who develop aseptic meningitis or encephalitis due to LCMV survive. No chronic infection has been described in humans, and after the acute phase of illness, the virus is cleared from the body. However, as in all infections of the central nervous system, particularly encephalitis, temporary or permanent neurological damage is possible. Nerve deafness and arthritis have been reported. 
                
Women who become infected with LCMV during pregnancy may pass the infection on to the fetus. Infections occurring during the first trimester may result in fetal death and pregnancy termination, while in the second and third trimesters, birth defects can develop. Infants infected In utero can have many serious and permanent birth defects, including vision problems, mental retardation, and hydrocephaly (water on the brain). Pregnant women may recall a flu-like illness during pregnancy, or may not recall any illness. 
                
LCM is usually not fatal. In general, mortality is less than 1%."
susceptibility,Who is at risk for Lymphocytic Choriomeningitis (LCM)? ?,"Individuals of all ages who come into contact with urine, feces, saliva, or blood of wild mice are potentially at risk for infection. Owners of pet mice or hamsters may be at risk for infection if these animals originate from colonies that were contaminated with LCMV, or if their animals are infected from other wild mice. Human fetuses are at risk of acquiring infection vertically from an infected mother. 
                
Laboratory workers who work with the virus or handle infected animals are also at risk. However, this risk can be minimized by utilizing animals from sources that regularly test for the virus, wearing proper protective laboratory gear, and following appropriate safety precautions."
exams and tests,How to diagnose Lymphocytic Choriomeningitis (LCM) ?,"During the first phase of the disease, the most common laboratory abnormalities are a low white blood cell count (leukopenia) and a low platelet count (thrombocytopenia). Liver enzymes in the serum may also be mildly elevated. After the onset of neurological disease during the second phase, an increase in protein levels, an increase in the number of white blood cells or a decrease in the glucose levels in the cerebrospinal fluid (CSF) is usually found. 
   
Laboratory diagnosis is usually made by detecting IgM and IgG antibodies in the CSF and serum. Virus can be detected by PCR or virus isolation in the CSF at during the acute stage of illness."
treatment,What are the treatments for Lymphocytic Choriomeningitis (LCM) ?,"Aseptic meningitis, encephalitis, or meningoencephalitis requires hospitalization and supportive treatment based on severity. Anti-inflammatory drugs, such as corticosteroids, may be considered under specific circumstances. Although studies have shown that ribavirin, a drug used to treat several other viral diseases, is effective against LCMV in vitro, there is no established evidence to support its routine use for treatment of LCM in humans."
prevention,How to prevent Lymphocytic Choriomeningitis (LCM) ?,"LCMV infection can be prevented by avoiding contact with wild mice and taking precautions when handling pet rodents (i.e. mice, hamsters, or guinea pigs). 
                
Rarely, pet rodents may become infected with LCMV from wild rodents. Breeders, pet stores, and pet owners should take measures to prevent infestations of wild rodents. Pet rodents should not come into contact with wild rodents. If you have a pet rodent, wash your hands with soap and water (or waterless alcohol-based hand rubs when soap is not available and hands are not visibly soiled) after handling rodents or their cages and bedding. 
                
If you have a rodent infestation in and around your home, take the following precautions to reduce the risk of LCMV infection: 
 
 - Seal up rodent entry holes or gaps with steel wool, lath metal, or caulk. 
 - Trap rats and mice by using an appropriate snap trap. 
 - Clean up rodent food sources and nesting sites and take precautions when cleaning rodent-infected areas: 
   
   - Use cross-ventilation when entering a previously unventilated enclosed room or dwelling prior to cleanup. 
   - Put on rubber, latex, vinyl or nitrile gloves. 
   - Do not stir up dust by vacuuming, sweeping, or any other means. 
   - Thoroughly wet contaminated areas with a bleach solution or household disinfectant. 
   - Hypochlorite (bleach) solution: Mix 1 and 1/2 cups of household bleach in 1 gallon of water. 
   - Once everything is wet, take up contaminated materials with damp towel and then mop or sponge the area with bleach solution or household disinfectant. 
   - Spray dead rodents with disinfectant and then double-bag along with all cleaning materials and throw bag out in an appropriate waste disposal system. 
   - Remove the gloves and thoroughly wash your hands with soap and water (or waterless alcohol-based hand rubs when soap is not available and hands are not visibly soiled). 
    
 
                
The geographic distributions of the rodent hosts are widespread both domestically and abroad. However, infrequent recognition and diagnosis, and historic underreporting of LCM, have limited scientists' ability to estimate incidence rates and prevalence of disease among humans. Understanding the epidemiology of LCM and LCMV infections will help to further delineate risk factors for infection and develop effective preventive strategies. Increasing physician awareness will improve disease recognition and reporting, which may lead to better characterization of the natural history and the underlying immunopathological mechanisms of disease, and stimulate future therapeutic research and development."
information,What is (are) Parasites - Cysticercosis ?,"Cysticercosis is an infection caused by the larvae of the parasite Taenia solium.  This infection occurs after a person swallows tapeworm eggs. The larvae get into tissues such as muscle and brain, and form cysts there (these are called cysticerci). When cysts are found in the brain, the condition is called neurocysticercosis."
susceptibility,Who is at risk for Parasites - Cysticercosis? ?,"Cysticercosis is an infection caused by the larvae of the tapeworm, Taenia solium. A person with an adult tapeworm, which lives in the person’s gut, sheds eggs in the stool.  The infection with the adult tapeworm is called taeniasis.  A pig then eats the eggs in the stool.  The eggs develop into larvae inside the pig and form cysts (called cysticerci) in the pig's muscles or other tissues. The infection with the cysts is called cysticercosis. Humans who eat undercooked or raw infected pork swallow the cysts in the meat. The larvae then come out of their cysts in the human gut and develop into adult tapeworms, completing the cycle.
    
People get cysticercosis when they swallow eggs that are excreted in the stool of people with the adult tapeworm. This may happen when people
    
     - Drink water or eat food contaminated with tapeworm eggs
     - Put contaminated fingers in their mouth
    
    
Cysticercosis is not spread by eating undercooked meat. However, people get infected with tapeworms (taeniasis) by eating undercooked infected pork. People who have tapeworm infections can infect themselves with the eggs and develop cysticercosis (this is called autoinfection). They can also infect other people if they have poor hygiene and contaminate food or water that other people swallow. People who live with someone who has a tapeworm infection in their intestines have a much higher risk of getting cysticercosis than other people.
    
Human cysticercosis is found worldwide, especially in areas where pig cysticercosis is common. Both taeniasis and cysticercosis are most often found in rural areas of developing countries with poor sanitation, where pigs roam freely and eat human feces. Taeniasis and cysticercosis are rare among persons who live in countries where pigs are not raised and in countries where pigs do not have contact with human feces. Although uncommon, cysticercosis can occur in people who have never traveled outside of the United States if they are exposed to tapeworm eggs.
    
More on: Taeniasis"
exams and tests,How to diagnose Parasites - Cysticercosis ?,"If you think that you may have cysticercosis, please see your health care provider. Your health care provider will ask you about your symptoms, where you have travelled, and what kinds of foods you eat. The diagnosis of neurocysticercosis usually requires MRI or CT brain scans. Blood tests may be useful to help diagnose an infection, but they may not always be positive in light infections.
  
If you have been diagnosed with cysticercosis, you and your family members should be tested for intestinal tapeworm infection. See the taeniasis section for more information on intestinal tapeworm infections.  
  
More on: Taeniasis
  
More on: Resources for Health Professionals: Diagnosis"
treatment,What are the treatments for Parasites - Cysticercosis ?,"Some people with cysticercosis do not need to be treated. There are medications available to treat cysticercosis for those who do need treatment. Sometimes surgery may be needed. Your doctor will advise you on which treatment is best for you.
    
More on: Resources for Health Professionals: Treatment
    
More on: Taeniasis"
prevention,How to prevent Parasites - Cysticercosis ?,"To prevent cysticercosis, the following precautions should be taken:
    
     - Wash your hands with soap and warm water after using the toilet, changing diapers, and before handling food
     - Teach children the importance of washing hands to prevent infection
     - Wash and peel all raw vegetables and fruits before eating
     - Use good food and water safety practices while traveling in developing countries such as: 
      
       - Drink only bottled or boiled (1 minute) water or carbonated (bubbly) drinks in cans or bottles
       - Filter unsafe water through an ""absolute 1 micron or less"" filter AND dissolve iodine tablets in the filtered water; ""absolute 1 micron"" filters can be found in camping and outdoor supply stores
      
    
    
More on: Handwashing
    
More on: Food and Water Safety"
information,What is (are) Parasites - Trichuriasis (also known as Whipworm Infection) ?,Whipworm (Trichuris trichiura) is an intestinal parasite of humans. The larvae and adult worms live in the intestine of humans and can cause intestinal disease. The name is derived from the worm’s distinctive whip-like shape.
susceptibility,Who is at risk for Parasites - Trichuriasis (also known as Whipworm Infection)? ?,"Whipworm is a soil-transmitted helminth (STH) and is the third most common roundworm of humans. Whipworm causes an infection called trichuriasis and often occurs in areas where human feces is used as fertilizer or where defecation onto soil happens. The worms are spread from person to person by fecal-oral transmission or through feces-contaminated food.
    Geographic Distribution
Worldwide, infection occurs more frequently in areas with tropical weather and poor sanitation practices, and among children. In 2002, the estimated number of persons infected with whipworm was 1 billion. Trichuriasis also occurs in the southern United States."
exams and tests,How to diagnose Parasites - Trichuriasis (also known as Whipworm Infection) ?,"The standard method for diagnosing the presence of whipworm is by microscopically identifying whipworm eggs in a stool sample. Because eggs may be difficult to find in light infections, a concentration procedure is recommended."
treatment,What are the treatments for Parasites - Trichuriasis (also known as Whipworm Infection) ?,"Anthelminthic medications (drugs that rid the body of parasitic worms), such as albendazole and mebendazole, are the drugs of choice for treatment. Infections are generally treated for 3 days. The recommended medications are effective. Health care providers may decide to repeat a stool exam after treatment. Iron supplements may also be prescribed if the infected person suffers from anemia.
    
More on: Resources for Health Professionals: Treatment"
prevention,How to prevent Parasites - Trichuriasis (also known as Whipworm Infection) ?,"The best way to prevent whipworm infection is to always:
    
     - Avoid ingesting soil that may be contaminated with human feces, including where human fecal matter (""night soil"") or wastewater is used to fertilize crops.
     - Wash your hands with soap and warm water before handling food.
     - Teach children the importance of washing hands to prevent infection.
     - Wash, peel, or cook all raw vegetables and fruits before eating, particularly those that have been grown in soil that has been fertilized with manure.
    
    
More on: Handwashing
    
Transmission of infection to others can be prevented by
    
     - Not defecating outdoors.
     - Effective sewage disposal systems."
information,what are marine toxins?,"Marine toxins are naturally occurring chemicals that can contaminate certain seafood. The seafood contaminated with these chemicals frequently looks, smells, and tastes normal. When humans eat such seafood, disease can result."
exams and tests,how can these diseases be diagnosed for Marine Toxins ?,"Diagnosis of marine toxin poisoning is generally based on symptoms and a history of recently eating a particular kind of seafood. Laboratory testing for the specific toxin in patient samples is generally not necessary because this requires special techniques and equipment available in only specialized laboratories. If suspect, leftover fish or shellfish are available, they can be tested for the presence of the toxin more easily. Identification of the specific toxin is not usually necessary for treating patients because there is no specific treatment."
treatment,how can these diseases be treated for Marine Toxins ?,"Other than supportive care there are few specific treatments for ciguatera poisoning, paralytic shellfish poisoning, neurotoxic shellfish poisoning, or amnesic shellfish poisoning. Antihistamines and epinephrine, however, may sometimes be useful in treating the symptoms of scombrotoxic fish poisoning. Intravenous mannitol has been suggested for the treatment of severe ciguatera poisoning."
frequency,how common are these diseases for Marine Toxins ?,"Every year, approximately 30 cases of poisoning by marine toxins are reported in the United States. Because healthcare providers are not required to report these illnesses and because many milder cases are not diagnosed or reported, the actual number of poisonings may be much greater. Toxic seafood poisonings are more common in the summer than winter because dinoflagelates grow well in warmer seasons. It is estimated from cases with available data that one person dies every 4 years from toxic seafood poisonings."
prevention,what can i do to prevent poisoning by marine toxins?,General guidelines for safe seafood consumption:
information,what is the government doing about these diseases for Marine Toxins ?,"Some health departments test shellfish harvested within their jurisdiction to monitor the level of dinoflagellate toxins and asses the risk for contamination. Based on the results of such testing, recreational and commercial seafood harvesting may be prohibited locally during periods of risk. State and federal regulatory agencies monitor reported cases of marine toxin poisoning, and health departments investigate possible outbreaks and devise control measures. The Centers for Disease Control and Prevention (CDC) provides support to investigators as needed."
prevention,what else can be done to prevent these diseases for Marine Toxins ?,"It is important to notify public health departments about even one person with marine toxin poisoning. Public health departments can then investigate to determine if a restaurant, oyster bed, or fishing area has a problem. This prevents other illnesses. In any food poisoning occurrence, consumers should note foods eaten and freeze any uneaten portions in case they need to be tested. A commercial test has been developed in Hawaii to allow persons to test sport caught fish for ciguatoxins."
information,What is (are) Yellow Fever Vaccination ?,"If you continue to live or travel in yellow fever-endemic areas, you should receive a booster dose of yellow fever vaccine after 10 years.
                
After receiving the vaccine, you should receive an International Certificate of Vaccination (yellow card) that has been validated by the vaccination center. This Certificate becomes valid 10 days after vaccination and lasts for 10 years. You will need this card as proof of vaccination to enter certain countries."
information,What is (are) Parasites - Schistosomiasis ?,"Schistosomiasis, also known as bilharzia, is a disease caused by parasitic worms. Infection with Schistosoma mansoni, S. haematobium, and S. japonicum causes illness in humans; less commonly, S. mekongi and S. intercalatum can cause disease. Although the worms that cause schistosomiasis are not found in the United States, more than 200 million people are infected worldwide."
susceptibility,Who is at risk for Parasites - Schistosomiasis? ?,"Schistosomiasis is an important cause of disease in many parts of the world, most commonly in places with poor sanitation. School-age children who live in these areas are often most at risk because they tend to spend time swimming or bathing in water containing infectious cercariae.
If you live in, or travel to, areas where schistosomiasis is found and are exposed to contaminated freshwater, you are at risk.
   
Areas where human schistosomiasis is found include:
   
    - Schistosoma mansoni 
     
      - distributed throughout Africa: There is risk of infection in freshwater in southern and sub-Saharan Africa–including the great lakes and rivers as well as smaller bodies of water. Transmission also occurs in the Nile River valley in Sudan and Egypt
      - South America: including Brazil, Suriname, Venezuela
      - Caribbean (risk is low): Dominican Republic, Guadeloupe, Martinique, and Saint Lucia.
     
    - S. haematobium 
     
      - distributed throughout Africa: There is risk of infection in freshwater in southern and sub-Saharan Africa–including the great lakes and rivers as well as smaller bodies of water. Transmission also occurs in the Nile River valley in Egypt and the Mahgreb region of North Africa.
      - found in areas of the Middle East
     
    - S. japonicum 
     
      - found in Indonesia and parts of China and Southeast Asia
     
    - S. mekongi 
     
      - found in Cambodia and Laos
     
    - S. intercalatum 
     
      - found in parts of Central and West Africa."
exams and tests,How to diagnose Parasites - Schistosomiasis ?,"Stool or urine samples can be examined microscopically for parasite eggs (stool for S. mansoni or S. japonicum eggs and urine for S. haematobium eggs). The eggs tend to be passed intermittently and in small amounts and may not be detected, so it may be necessary to perform a blood (serologic) test.
    
More on: Resources for Health Professionals: Diagnosis"
treatment,What are the treatments for Parasites - Schistosomiasis ?,"Safe and effective medication is available for treatment of both urinary and intestinal schistosomiasis. Praziquantel, a prescription medication, is taken for 1-2 days to treat infections caused by all Schistosoma species.
    
More on: Resources for Health Professionals: Treatment"
